seed,irrev_sit_count,ablated_sit_count,delta_sit_count,irrev_mean_Ct,ablated_mean_Ct,delta_mean_Ct,irrev_normal_ticks,ablated_normal_ticks,delta_normal_ticks,irrev_alpha_final,ablated_alpha_final,delta_alpha_final,irrev_alpha_slope,ablated_alpha_slope,delta_alpha_slope
58,0.0,0.0,0.0,0.572845751633987,0.6314918300653595,-0.058646078431372484,60.0,56.0,4.0,0.5692,0.5691,9.999999999998899e-05,0.09596666666666664,0.09586666666666666,9.999999999998899e-05
59,0.0,0.0,0.0,0.5696375816993464,0.6278555555555555,-0.05821797385620908,59.0,56.0,3.0,0.8704,0.8835,-0.0131,0.2965466666666666,0.30964666666666685,-0.013100000000000223
60,0.0,0.0,0.0,0.5690245098039216,0.6264807189542483,-0.057456209150326676,59.0,55.0,4.0,0.8808,0.8893,-0.008499999999999952,0.30500666666666665,0.3135066666666666,-0.008499999999999952
61,0.0,0.0,0.0,0.5699794117647059,0.6284993464052288,-0.05851993464052285,59.0,56.0,3.0,0.8657,0.8764,-0.010699999999999932,0.2918466666666667,0.30254666666666674,-0.010700000000000043
62,0.0,0.0,0.0,0.5673238562091503,0.6266833333333334,-0.0593594771241831,60.0,56.0,4.0,0.9027,0.9026,9.999999999998899e-05,0.3381600000000001,0.33806000000000014,9.999999999998899e-05
63,0.0,0.0,0.0,0.5657303921568626,0.6248967320261438,-0.059166339869281215,60.0,56.0,4.0,0.9011,0.901,9.999999999998899e-05,0.3288066666666667,0.3287066666666665,0.00010000000000021103
64,0.0,0.0,0.0,0.5696375816993464,0.6281575163398692,-0.05851993464052274,59.0,56.0,3.0,0.8704,0.8811,-0.010700000000000043,0.2965466666666666,0.30724666666666667,-0.010700000000000043
65,0.0,0.0,0.0,0.5696375816993464,0.6278555555555555,-0.05821797385620908,59.0,56.0,3.0,0.8704,0.8835,-0.0131,0.2965466666666666,0.30964666666666685,-0.013100000000000223
66,0.0,0.0,0.0,0.5662529411764705,0.6257915032679738,-0.05953856209150332,60.0,56.0,4.0,0.8618,0.8616,0.00019999999999997797,0.2879466666666667,0.2877466666666666,0.000200000000000089
67,0.0,0.0,0.0,0.569390522875817,0.6276875816993464,-0.05829705882352931,59.0,56.0,3.0,0.8714,0.8821,-0.010700000000000043,0.29862333333333324,0.3093233333333334,-0.010700000000000154
68,0.0,0.0,0.0,0.5661454248366014,0.625275816993464,-0.059130392156862666,60.0,56.0,4.0,0.8668,0.8667,9.999999999998899e-05,0.30107000000000017,0.30097000000000007,0.00010000000000010001
69,0.0,0.0,0.0,0.5731271241830065,0.6317732026143791,-0.058646078431372595,60.0,56.0,4.0,0.5658,0.5656,0.00019999999999997797,0.09256666666666669,0.0923666666666666,0.000200000000000089
70,0.0,0.0,0.0,0.5623633986928105,0.6307803921568628,-0.06841699346405228,59.0,57.0,2.0,0.5428,0.5487,-0.005900000000000016,0.06781666666666664,0.07371666666666665,-0.005900000000000016
71,0.0,0.0,0.0,0.5657267973856208,0.6297519607843137,-0.06402516339869291,60.0,55.0,5.0,0.8923,0.8702,0.02210000000000001,0.31844666666666666,0.29634666666666665,0.02210000000000001
72,0.0,0.0,0.0,0.5660630718954248,0.6253467320261438,-0.05928366013071895,60.0,56.0,4.0,0.8904,0.8902,0.00019999999999997797,0.31654666666666675,0.31634666666666655,0.00020000000000020002
